0x5a0c,0x7a98,0101101000001100,0111101010011000,0010000010010100,4
0x98fe,0xcf48,1001100011111110,1100111101001000,0101011110110110,5
0xa3e7,0xfd23,1010001111100111,1111110100100011,0101111011000100,4
0x601f,0x3fbe,0110000000011111,0011111110111110,0101111110100001,4
0xcda1,0xf2c2,1100110110100001,1111001011000010,0011111101100011,3
0xd0d3,0xc91d,1101000011010011,1100100100011101,0001100111001110,3
0x2dee,0x7aec,0010110111101110,0111101011101100,0101011100000010,4
0x683f,0x4a8c,0110100000111111,0100101010001100,0010001010110011,5
0x3b97,0x23b2,0011101110010111,0010001110110010,0001100000100101,4
0xef3a,0xd0ff,1110111100111010,1101000011111111,0011111111000101,3
0x02d5,0x268c,0000001011010101,0010011010001100,0010010001011001,5
0x7945,0x2c8a,0111100101000101,0010110010001010,0101010111001111,5
0x9eb3,0x5593,1001111010110011,0101010110010011,1100101100100000,4
0x588f,0x4a8b,0101100010001111,0100101010001011,0001001000000100,3
0xf0af,0xf6a4,1111000010101111,1111011010100100,0000011000001011,3
0x282a,0xaa3e,0010100000101010,1010101000111110,1000001000010100,4
0xf656,0x85e8,1111011001010110,1000010111101000,0111001110111110,3
0x187a,0x53a9,0001100001111010,0101001110101001,0100101111010011,5
0x5688,0x5e66,0101011010001000,0101111001100110,0000100011101110,3
0x3c07,0x9047,0011110000000111,1001000001000111,1010110001000000,4
0xcf81,0x8bbc,1100111110000001,1000101110111100,0100010000111101,4
0x7490,0x34fc,0111010010010000,0011010011111100,0100000001101100,3
0x168b,0xf75c,0001011010001011,1111011101011100,1110000111010111,3|4
0x4883,0x8cce,0100100010000011,1000110011001110,1100010001001101,4|5
0x76ee,0x97a1,0111011011101110,1001011110100001,1110000101001111,3|4
0x0f61,0x2186,0000111101100001,0010000110000110,0010111011100111,4
0x2731,0xf2a4,0010011100110001,1111001010100100,1101010110010101,6|7
0xaf1c,0x9d92,1010111100011100,1001110110010010,0011001010001110,4
0x0159,0x30ea,0000000101011001,0011000011101010,0011000110110011,4
0x6c87,0xeab3,0110110010000111,1110101010110011,1000011000110100,4
0xaec0,0xd7a9,1010111011000000,1101011110101001,0111100101101001,5
0x5ebd,0xaa94,0101111010111101,1010101010010100,1111010000101001,4|5
0x25fc,0xc7e4,0010010111111100,1100011111100100,1110001000011000,3
0xe1b7,0x106d,1110000110110111,0001000001101101,1111000111011010,4
0xc208,0x1a53,1100001000001000,0001101001010011,1101100001011011,4|5
0x3ce5,0x28be,0011110011100101,0010100010111110,0001010001011011,5
0x41b1,0xf88d,0100000110110001,1111100010001101,1011100100111100,4
0x3fbf,0x119c,0011111110111111,0001000110011100,0010111000100011,4
0x9aa3,0x26bc,1001101010100011,0010011010111100,1011110000011111,2|3
0xe740,0x788a,1110011101000000,0111100010001010,1001111111001010,4
0x9732,0x543e,1001011100110010,0101010000111110,1100001100001100,3
0xa46e,0xb0ec,1010010001101110,1011000011101100,0001010010000010,4
0xa1f1,0x941f,1010000111110001,1001010000011111,0011010111101110,4
0xd61d,0x2b42,1101011000011101,0010101101000010,1111110101011111,3|4
0x15b8,0x80fc,0001010110111000,1000000011111100,1001010101000100,6
0x5762,0xe362,0101011101100010,1110001101100010,1011010000000000,3
0xbd37,0x0500,1011110100110111,0000010100000000,1011100000110111,3|4
0x9683,0xbf04,1001011010000011,1011111100000100,0010100110000111,4
0x8e76,0xee4e,1000111001110110,1110111001001110,0110000000111000,2
0x9125,0x9b36,1001000100100101,1001101100110110,0000101000010011,4
0x19a1,0x530e,0001100110100001,0101001100001110,0100101010101111,6
0x2b4c,0xd265,0010101101001100,1101001001100101,1111100100101001,4|5
0xb457,0x7576,1011010001010111,0111010101110110,1100000100100001,3|4
0x2575,0x11c7,0010010101110101,0001000111000111,0011010010110010,5
0x4e17,0x6900,0100111000010111,0110100100000000,0010011100010111,4
0x7546,0x9537,0111010101000110,1001010100110111,1110000001110001,2|3
0xd581,0xd66c,1101010110000001,1101011001101100,0000001111101101,3
0xcdb0,0x5850,1100110110110000,0101100001010000,1001010111100000,4
0x1012,0x0920,0001000000010010,0000100100100000,0001100100110010,4
0x0bb6,0xab66,0000101110110110,1010101101100110,1010000011010000,4
0xae68,0xf453,1010111001101000,1111010001010011,0101101000111011,5
0xdfa7,0x1530,1101111110100111,0001010100110000,1100101010010111,5|6
0x80a9,0x0f7c,1000000010101001,0000111101111100,1000111111010101,4|5
0x0e56,0xe5b7,0000111001010110,1110010110110111,1110101111100001,3|4
0x7bb9,0x69b7,0111101110111001,0110100110110111,0001001000001110,3
0xa1dc,0x8b77,1010000111011100,1000101101110111,0010101010101011,7
0x3584,0x979c,0011010110000100,1001011110011100,1010001000011000,4
0x2302,0xbde1,0010001100000010,1011110111100001,1001111011100011,3|4
0xb3d4,0xdbb5,1011001111010100,1101101110110101,0110100001100001,4
