SimTime,dT,Real_Prec_Acc,Real_Prec_Vel,Real_Prec_Pos,Quantized_Prec_Acc,Quantized_Prec_Vel,Quantized_Prec_Pos,Received_Prec_Acc,Received_Prec_Vel,Received_Prec_Pos,Ego_Acc_Benign,Ego_Vel_Benign,Ego_Pos_Benign,Ego_Acc,Ego_Vel,Ego_Pos,Safe_Gap_Benign,Space_Headway_Benign,Time_Headway_Benign,Safe_Gap,Space_Headway,Time_Headway,Bit_Flip_Pairs,XOR_Bin,XOR_Pattern,Real_Gap,Communication_Success,Desired_Space_HW
269.65,0.016999999999995907,1.545161,22.904129,0.0,,,,1.545161,22.904129,0.0,0.9801749833197637,22.904129,-20.0,0.9801749833197637,22.904129,-20.0,,20.0,0.8732050015960005,3.2904129,20.0,0.8732050015960005,,,,20.0,1.0,12.597270950000002
269.667,0.016000000000019554,1.543022,22.92981,0.38959346876440615,,,,1.5,21.62,6.4,1.8623039146649734,22.920791974716433,-19.610488171715005,2.7901980037637557,22.920791974716433,-19.610488171715005,,20.00008164047941,0.8725737602147948,6.91322324423572,20.00008164047941,0.8725737602147948,,,,20.00008164047941,1.0,12.606435586094038
269.683,0.016999999999995907,1.540511,22.955446,0.756667935580855,,,,1.5,21.65,6.8,2.7590061290842964,22.95058883735111,-19.243517125218016,4.637254380122323,22.96543514277671,-19.24339835477461,,20.00018506079887,0.8714453996164759,6.964587970345393,20.000066290355463,0.8708768706542911,,,,20.000066290355463,1.0,12.63098932852719
269.7,0.016999999999995907,1.538284,22.981054,1.147133121420261,,,,1.5,21.68,7.2,3.6121506784493604,22.99749194154553,-18.852958438597486,6.3977841620542,23.04426846723877,-18.852315874089573,,20.000091560017747,0.8696640316628221,7.117921171109816,19.999448995509834,0.8678708557810091,,,,19.999448995509834,1.0,12.674347656981324
269.717,0.016000000000019554,1.536777,23.006649,1.5380333214581667,,,,1.5,21.7,7.5,4.373920184570312,23.058898503079153,-18.46147911981827,7.955929788656179,23.153030797993665,-18.45963883033519,,19.999512441276437,0.8673229746254278,7.388605275602064,19.997672151793356,0.8637172526685475,,,,19.997672151793356,1.0,12.734166938896516
269.733,0.016999999999995907,1.535999,23.03224,1.9063364129146172,,,,1.5,21.73,7.9,5.142153291899452,23.128881226032362,-18.09197688198493,8.0,23.28032567461232,-18.08817197855389,,19.998313294899546,0.8646468067115476,7.689324037212085,19.994508391468507,0.8588586204046507,,,,19.994508391468507,1.0,12.804179121036778
269.75,0.016999999999995907,1.535623,23.057829,2.298106444770023,,,,1.5,21.75,8.3,5.866412391245748,23.21629783199463,-17.698042859991798,8.0,23.41632567461229,-17.69125044208558,,19.996149304761822,0.8612979317143715,8.045495573680395,19.989356886855603,0.853650447325638,,,,19.989356886855603,1.0,12.87897912103676
269.767,0.016000000000019554,1.535284,23.08181,2.6903114352934283,,,,1.5,21.75,8.3,6.506595617033946,23.316026842645783,-17.30251810025745,8.0,23.552325674612256,-17.292016905617267,,19.99282953555088,0.8574715439503326,8.4583291101487,19.982328340910694,0.8484227255081749,,,,19.982328340910694,0.0,12.953779121036742
269.783,0.016999999999995907,1.534274,23.110558,3.05981691164588,,,,1.5,21.75,8.3,7.145694813919732,23.420132372518452,-16.928628826535682,8.0,23.680325674612412,-16.91415569482301,,19.98844573818156,0.8534727908556279,8.848990320942981,19.97397260646889,0.843483864239372,,,,19.97397260646889,0.0,13.024179121036827
269.8,0.016999999999995907,1.532776,23.134481,3.4529181002387856,,,,1.5,21.75,8.3,7.740847291081353,23.541609184355057,-16.529454023302353,8.0,23.81632567461238,-16.5104341583547,,19.98237212354114,0.8488107999354919,9.266311857411289,19.963352258593485,0.838221333187173,,,,19.963352258593485,0.0,13.098979121036809
269.817,0.016000000000019554,1.53109,23.158379,3.846425763370691,,,,1.5,21.75,8.3,8.0,23.67320358830341,-16.128128114734853,8.0,23.952325674612347,-16.104400621886388,,19.974553878105546,0.8437621804585286,9.6859453938796,19.95082638525708,0.8329390079395692,,,,19.95082638525708,0.0,13.173779121036791
269.833,0.016999999999995907,1.529456,23.185442,4.217155806891144,,,,1.5,21.75,8.3,8.0,23.801203588303565,-15.748332857321532,8.0,24.080325674612503,-15.720139411092118,,19.96548866421268,0.8388436572184172,10.083006604673878,19.937295217983262,0.8279495671025259,,,,19.937295217983262,0.0,13.244179121036877
269.85,0.016999999999995907,1.528018,23.210886,4.6115293272830495,,,,1.5,21.75,8.3,8.0,23.937203588303532,-15.34255639632047,8.0,24.21632567461247,-15.309617874623804,,19.95408572360352,0.8336013707697131,10.507128141142191,19.921147201906855,0.8226329406690905,,,,19.921147201906855,0.0,13.31897912103686
269.867,0.01599999999996271,1.526422,23.236303,5.006335187883955,,,,1.5,21.75,8.3,8.0,24.0732035883035,-14.934467935319407,8.0,24.352325674612437,-14.896784338155491,,19.940803123203363,0.8283402352353322,10.9335616776105,19.903119526039447,0.8172985115252734,,,,19.903119526039447,0.0,13.393779121036841
269.883,0.016999999999995907,1.524782,23.261692,5.378311417899087,,,,1.5,21.75,8.3,8.0,24.2012035883032,-14.548272677907454,8.0,24.48032567461214,-14.506123127362605,,19.92658409580654,0.823371615510782,11.337022888403355,19.88443454526169,0.8122618469035844,,,,19.88443454526169,0.0,13.464179121036677
269.9,0.016999999999995907,1.522849,23.287043,5.7739805128979915,,,,1.5,21.75,8.3,8.0,24.33720358830317,-14.135696216906398,8.0,24.616325674612106,-14.088801590894299,,19.90967672980439,0.8180757767656298,11.76794442487166,19.86278210379229,0.806894674954583,,,,19.86278210379229,0.0,13.53897912103666
269.917,0.016000000000019554,1.520545,23.312349,6.170080295578396,,,,1.5,21.75,8.3,8.0,24.473203588303136,-13.720807755905344,8.0,24.752325674612074,-13.669168054425993,,19.890888051483742,0.8127619246787334,12.20117796133996,19.83924835000439,0.8015104766641414,,,,19.83924835000439,0.0,13.613779121036641
269.933,0.016999999999995907,1.518009,23.339195,6.543272509338852,,,,1.5,21.75,8.3,8.0,24.601203588303292,-13.328212498492013,8.0,24.88032567461223,-13.272106843631713,,19.871485007830863,0.8077444234183246,12.611039172134253,19.815379352970567,0.7964276517967804,,,,19.815379352970567,0.0,13.684179121036728
269.95,0.016999999999995907,1.515169,23.362822,6.940258176639256,,,,1.5,24.62,0.1,8.0,24.73720358830326,-12.908836037490957,7.197973269915254,25.016325674612197,-12.847985307163407,,19.84909421413021,0.8023984660705812,4.731141958602555,19.788243483802663,0.791013186396304,,,,19.788243483802663,1.0,13.75897912103671
269.967,0.016000000000019554,1.511253,23.387951,7.337645092559661,,,,1.5,24.64,0.5,8.0,24.873203588303227,-12.487147576489903,6.455873405565171,25.138691220200727,-12.4216676635576,,19.824792669049565,0.797034149568586,5.0653813885573955,19.75931275611726,0.7860119917555313,,,,19.75931275611726,1.0,13.826280171110401
269.983,0.033999999999991815,1.507639,23.411459,7.712045748944118,,,,1.5,24.67,0.9,8.0,25.001203588303383,-12.088152319076562,4.915063553000328,25.241985194689896,-12.01862225223798,,19.80019806802068,0.7919697944975757,5.308505805027978,19.7306680011821,0.7816607073096928,,,,19.7306680011821,1.0,13.883091857079444
270.017,0.016000000000019554,1.503375,23.46312,8.508906770285925,,,,1.5,24.69,1.3,8.0,25.273203588303318,-11.233487397074454,4.155536965111007,25.409097355491866,-11.157553848885097,,19.74239416736038,0.7811591474100794,5.792542761853165,19.666460619171023,0.7739928870365935,,,,19.666460619171023,1.0,13.975003545520527
270.033,0.016999999999995907,1.50225,23.488129,8.884509122286385,,,,1.5,24.74,2.1,8.0,25.401203588303474,-10.828092139661104,3.44191783833712,25.475585946933723,-10.750476382465196,,19.71260126194749,0.7760498904478912,5.8561760534188085,19.634985504751583,0.7707373461655306,,,,19.634985504751583,1.0,14.011572270813549
270.05,0.016999999999995907,1.495687,23.512918,9.28402439041129,,,,1.5,24.77,2.5,8.0,25.53720358830344,-10.39511567866005,2.746024335716901,25.53409855018544,-10.316894064239788,,19.679140069071337,0.7706066954834783,5.955740403179932,19.60091845465108,0.7676369861315793,,,,19.60091845465108,1.0,14.043754202601994
270.067,0.016000000000019554,1.481404,23.537374,9.683960123182693,,,,1.5,24.79,2.9,8.0,25.67320358830341,-9.959827217658995,2.1080280872203176,25.580780963892618,-9.88241758837023,,19.64378734084169,0.7651474921420133,6.047594016554949,19.566377711552924,0.7648858625219829,,,,19.566377711552924,1.0,14.06942953014094
270.083,0.016999999999995907,1.464704,23.561563,10.060747726895155,,,,1.5,24.82,3.3,8.0,25.801203588303565,-9.548031960245636,1.4522402502163025,25.614509413288186,-9.472855265352282,,19.60877968714079,0.7599947661368022,6.065869221543135,19.533602992247438,0.7625991455496657,,,,19.533602992247438,1.0,14.087980177308504
270.1,0.016999999999995907,1.450397,23.585546,10.461505947623058,,,,1.5,24.84,3.7,8.0,25.937203588303532,-9.108255499244581,0.8155888039288534,25.639197497541858,-9.03719875661033,,19.569761446867638,0.7545054492957246,6.085347769626482,19.49870470423339,0.7605037055509564,,,,19.49870470423339,1.0,14.101558623648023
270.117,0.01599999999996271,1.433325,23.609165,10.862669811989461,,,,1.5,24.87,4.1,8.0,26.0732035883035,-8.666167038243527,0.2353752998407741,25.653062507208645,-8.601214546570056,,19.528836850232988,0.7490002823816276,6.037976000642976,19.46388435855952,0.7587353109629723,,,,19.46388435855952,1.0,14.109184378964756
270.133,0.016999999999995907,1.409966,23.632313,11.240599917588579,,,,1.4,24.89,4.5,8.0,26.2012035883032,-8.247971780831648,-0.3607406736814336,25.65682851200609,-8.190735418417296,,19.488571698420227,0.7438044451942795,5.988229682106148,19.431335336005873,0.757355310961875,,,,19.431335336005873,1.0,14.111255681603351
270.15,0.03300000000001546,1.383043,23.654987,11.642552978675482,,,,1.4,24.91,4.8,8.0,26.33720358830317,-7.801395319830601,-1.5112736595012317,25.650695920553506,-7.754621460740644,,19.443948298506083,0.7382692787909152,5.905700917599119,19.397174439416126,0.7562046074497912,,,,19.397174439416126,1.0,14.107882756304429
270.183,0.033999999999991815,1.340107,23.699457,12.42392061658935,,,,1.4,24.93,5.2,8.0,26.601203588303292,-6.927911601416185,-2.7380351015817195,25.600823889789943,-6.908971383869581,,19.351832218005534,0.7274795726353769,5.6786626287314625,19.33289200045893,0.7551667900879248,,,,19.33289200045893,1.0,14.08045313938447
270.217,0.016000000000019554,1.329343,23.743753,13.230476736435154,,,,1.3,24.98,6.0,7.994119239283685,26.873203588303227,-6.018846679414093,-3.2661171843933436,25.507730696336186,-6.040125955905646,,19.249323415849247,0.7163017744645699,5.216018399434324,19.270602692340802,0.7554808744749977,,,,19.270602692340802,1.0,14.029251882984903
270.233,0.016999999999995907,1.331623,23.766003,13.610546940339619,,,,1.3,24.98,6.0,7.9627106848477585,27.00110949613192,-5.587852174738085,-3.2661171843933436,25.45547282138583,-5.632420327763372,,19.198399115077706,0.7110226014167306,5.044340817158121,19.24296726810299,0.7559461732699169,,,,19.24296726810299,0.0,14.000510051762207
270.25,0.016999999999995907,1.334859,23.788305,14.014761410863022,,,,1.3,24.98,6.0,7.905358131882375,27.1364755777743,-5.127682701609992,-3.2661171843933436,25.399948829251155,-5.200149243733062,,19.142444112473015,0.7054137910286085,4.862307415961185,19.214910654596082,0.7564940694867761,,,,19.214910654596082,0.0,13.969971856088137
270.267,0.016000000000019554,1.33719,23.810625,14.419355482988424,,,,1.3,24.98,6.0,7.827789827257014,27.270866666016268,-4.665220292537883,-3.2661171843933436,25.34442483711648,-4.768822067569041,,19.084575775526307,0.6998155214226708,4.680659378977074,19.188177550557466,0.7570965872721919,,,,19.188177550557466,0.0,13.939433660414066
270.283,0.016999999999995907,1.338261,23.832949,14.80049664330889,,,,1.3,24.98,6.0,7.72268107658484,27.396111303252532,-4.2278844687831985,-3.2661171843933436,25.292166962166124,-4.363729333174286,,19.028381112092088,0.6945650388649499,4.510048548847086,19.164225976483173,0.7577138805524424,,,,19.164225976483173,0.0,13.91069182919137
270.3,0.016999999999995907,1.338446,23.855263,15.205850155023292,,,,1.3,24.98,6.0,7.594275492524243,27.52739688155444,-3.7610346492124513,-3.2661171843933436,25.23664297003145,-3.9342344487507095,,18.966884804235743,0.6890184671600776,4.329148571805506,19.140084603774,0.758424352498186,,,,19.140084603774,0.0,13.880153633517299
270.317,0.016000000000019554,1.338104,23.877567,15.611583031470195,,,,1.3,24.98,6.0,7.452397392240968,27.656499564927323,-3.291971529417469,-3.2661171843933436,25.181118977896777,-3.505683472193423,,18.903554560887663,0.6835121891152222,4.148633958976751,19.11726650366362,0.7591905077945176,,,,19.11726650366362,0.0,13.849615437843228
270.333,0.016999999999995907,1.337344,23.899851,15.993795380782663,,,,1.3,24.98,6.0,7.281589316626161,27.775737923203323,-2.848513629511882,-3.2661171843933436,25.12886110294642,-3.1032036315461857,,18.842309010294546,0.6783729405278568,3.979089880992992,19.096999012328848,0.759962774838597,,,,19.096999012328848,0.0,13.820873606620532
270.35,0.03299999999995862,1.336264,23.922113,16.400286093990566,,,,1.3,24.98,6.0,6.910377092388646,27.899524941585938,-2.375273895161287,-3.2661171843933436,25.073337110811746,-2.676484946729344,,18.77555998915185,0.6729705981898544,3.7993233281067673,19.076771040719912,0.7608389324647941,,,,19.076771040719912,0.0,13.790335410946462
270.383,0.016999999999995907,1.334037,23.966583,17.190443418737573,,,,1.3,24.98,6.0,6.6821025525915045,28.127567385634478,-1.4508268717633093,-3.2661171843933436,24.9655552437269,-1.8508432228804919,,18.64127029050088,0.662740223316343,3.4514648135964183,19.041286641618065,0.7627023094710691,,,,19.041286641618065,0.0,13.731055384049796
270.4,0.016999999999995907,1.333158,23.988796,17.598068098083974,,,,1.3,24.98,6.0,6.436426717303079,28.241163129028507,-0.9716926623887892,-3.2661171843933436,24.910031251592226,-1.4269007376703813,,18.569760760472764,0.6575423496415872,3.2728316848655563,19.024968835754354,0.763747288937596,,,,19.024968835754354,0.0,13.700517188375725
270.417,0.016000000000019554,1.332275,24.010994,18.006070271414877,,,,1.3,24.98,6.0,6.189812575339157,28.350582383222633,-0.49066282553477025,-3.2661171843933436,24.854507259457552,-1.00390216032656,,18.496733096949647,0.6524286819552491,3.094583920347512,19.00997243174144,0.7648501027719159,,,,19.00997243174144,0.0,13.669978992701655
