0x0000,0xf93f,0000000000000000,1111100100111111,1111100100111111,2|3
0x55a6,0x5564,0101010110100110,0101010101100100,0000000011000010,2
0x3fa5,0xbfa3,0011111110100101,1011111110100011,1000000000000110,2
0x29e4,0x29a3,0010100111100100,0010100110100011,0000000001000111,2
0x19a3,0x1b9f,0001100110100011,0001101110011111,0000001000111100,2
0x03a2,0x035a,0000001110100010,0000001101011010,0000000011111000,1
0xefa0,0xf380,1110111110100000,1111001110000000,0001110000100000,2
0xd99f,0x599d,1101100110011111,0101100110011101,1000000000000010,2
0x859e,0xc55e,1000010110011110,1100010101011110,0100000011000000,2
0xef9d,0x6f9d,1110111110011101,0110111110011101,1000000000000000,1
0x9b9d,0x8b9c,1001101110011101,1000101110011100,0001000000000001,2
0x899b,0x896b,1000100110011011,1000100101101011,0000000011110000,1
0x739a,0x6d9a,0111001110011010,0110110110011010,0001111000000000,1
0x5f9d,0x5799,0101111110011101,0101011110011001,0000100000000100,2
0x4998,0x459a,0100100110011000,0100010110011010,0000110000000010,2
0x3795,0x3597,0011011110010101,0011010110010111,0000001000000010,2
0x1f94,0x1f9e,0001111110010100,0001111110011110,0000000000001010,2
0x0b95,0xf394,0000101110010101,1111001110010100,1111100000000001,1|2
0xf983,0xd993,1111100110000011,1101100110010011,0010000000010000,2
0xe792,0xe591,1110011110010010,1110010110010001,0000001000000011,2
0xef91,0xaf91,1110111110010001,1010111110010001,0100000000000000,1
0xbb90,0xab88,1011101110010000,1010101110001000,0001000000011000,2
0x918f,0x904f,1001000110001111,1001000001001111,0000000111000000,1
0x7b8e,0x7b88,0111101110001110,0111101110001000,0000000000000110,1
0x678d,0x488d,0110011110001101,0100100010001101,0010111100000000,2
0x518c,0x110c,0101000110001100,0001000100001100,0100000010000000,2
0x3d8b,0x3d6c,0011110110001011,0011110101101100,0000000011100111,2
0x278a,0x5f8a,0010011110001010,0101111110001010,0111100000000000,1
0x1409,0x3405,0001010000001001,0011010000000101,0010000000001100,2
0x0408,0x8307,0000010000001000,1000001100000111,1000011100001111,2|3
0xf006,0x5006,1111000000000110,0101000000000110,1010000000000000,2
0xc785,0xc645,1100011110000101,1100011001000101,0000000111000000,1
0x9e8d,0x9e84,1001111010001101,1001111010000100,0000000000001001,2
0x8c83,0x88a3,1000110010000011,1000100010100011,0000010000100000,2
0x7482,0x3442,0111010010000010,0011010001000010,0100000011000000,2
0x60c1,0xe080,0110000011000001,1110000010000000,1000000001000001,2|3
0x4c80,0x8b80,0100110010000000,1000101110000000,1100011100000000,2
0x367f,0x2e81,0011011001111111,0010111010000001,0001100011111110,2
0x2a7e,0x227c,0010101001111110,0010001001111100,0000100000000010,2
0x0e5d,0x0e5d,0000111001011101,0000111001011101,0000000000000000,0
0xfa7b,0x5a7c,1111101001111011,0101101001111100,1010000000000111,2|3
0xd07a,0xc87c,1101000001111010,1100100001111100,0001100000000110,2
0x9c79,0xac79,1001110001111001,1010110001111001,0011000000000000,1
0xa878,0xa879,1010100001111000,1010100001111001,0000000000000001,1
0x9477,0x9467,1001010001110111,1001010001100111,0000000000010000,1
0x7e76,0x7a36,0111111001110110,0111101000110110,0000010001000000,2
0x6a75,0x68f5,0110101001110101,0110100011110101,0000001010000000,2
0x5674,0x6670,0101011001110100,0110011001110000,0011000000000100,2
0x4273,0x3253,0100001001110011,0011001001010011,0111000000100000,2
0x6e72,0x2e82,0110111001110010,0010111010000010,0100000011110000,2
0x1871,0x9830,0001100001110001,1001100000110000,1000000001000001,2|3
0x0472,0xfc6f,0000010001110010,1111110001101111,1111100000011101,2|3
0xf26e,0xf066,1111001001101110,1111000001100110,0000001000001000,2
0xdc6d,0xdc7c,1101110001101101,1101110001111100,0000000000010001,2
0xc86c,0xc72c,1100100001101100,1100011100101100,0000111101000000,2
0xb26b,0xb25d,1011001001101011,1011001001011101,0000000000110110,2
0x8a6a,0x89eb,1000101001101010,1000100111101011,0000001110000001,2
0xf269,0x7069,1111001001101001,0111000001101001,1000001000000000,2
0x6468,0x6064,0110010001101000,0110000001100100,0000010000001100,2
0xca67,0x4867,1100101001100111,0100100001100111,1000001000000000,2
0x3566,0x3426,0011010101100110,0011010000100110,0000000101000000,2
0x2065,0x2062,0010000001100101,0010000001100010,0000000000000111,1
