SimTime,dT,Real_Prec_Acc,Real_Prec_Vel,Real_Prec_Pos,Quantized_Prec_Acc,Quantized_Prec_Vel,Quantized_Prec_Pos,Received_Prec_Acc,Received_Prec_Vel,Received_Prec_Pos,Ego_Acc_Qbenign,Ego_Vel_Qbenign,Ego_Pos_Qbenign,Ego_Acc,Ego_Vel,Ego_Pos,Safe_Gap_Qbenign,Space_Headway_Qbenign,Time_Headway_Qbenign,Safe_Gap,Space_Headway,Time_Headway,Bit_Flip_Pairs,XOR_Bin,XOR_Pattern,Real_Gap
269.817,0.016000000000019554,1.53109,23.158379,3.846425763370691,1.5,23.16,3.8000000000000003,1.5,23.080000000000002,413.40000000000003,8.0,23.668742262898213,-16.12884258123922,8.0,24.31600000000024,-16.050783999999286,4.85585924550883,,0.8439514074189745,7.092941000000749,,17.66124296759315,"[[3, 12, 1, 6], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",1,B0001000011000000,19.89720976336998
269.833,0.016999999999995907,1.529456,23.185442,4.217155806891144,1.5,23.19,4.2,1.5,23.11,413.8,8.0,23.79674226289837,-15.749118705032382,8.0,24.444000000000397,-15.660703999998804,5.161476871715672,,0.839033943862688,7.409214750001257,,17.569166421207324,"[[2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2]]",1,B1111000011000000,19.877859806889948
269.85,0.016999999999995907,1.528018,23.210886,4.6115293272830495,1.5,23.21,4.6000000000000005,1.5,23.29,414.20000000000005,8.0,23.932742262898337,-15.343418086563208,8.0,24.580000000000364,-15.243999999998897,5.522777490184844,,0.833792767859342,7.317518750001159,,17.47127746135039,"[[3, 12, 1, 6], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",1,B0001000011000000,19.855529327281946
269.867,0.01599999999996271,1.526422,23.236303,5.006335187883955,1.5,23.240000000000002,5.0,1.5,23.32,414.6,8.0,24.068742262898304,-14.935405468094034,8.0,24.71600000000033,-14.824983999998992,5.857296358654012,,0.8285327267273935,7.662741000001058,,17.374372228515668,"[[2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2]]",1,B0111000011000000,19.831319187882947
269.883,0.016999999999995907,1.524782,23.261692,5.378311417899087,1.5,23.26,5.4,1.5,23.34,415.0,8.0,24.196742262898006,-14.549281591888564,8.0,24.844000000000033,-14.428503999999913,6.198095234859452,,0.823565122662961,8.013696000000113,,17.28499855095795,"[[3, 12, 1, 6], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",1,B0001000011000000,19.806815417899
269.9,0.016999999999995907,1.522849,23.287043,5.7739805128979915,1.5,23.29,5.800000000000001,1.5,23.21,415.40000000000003,8.0,24.332742262897973,-14.136780973419397,8.0,24.98,-14.005000000000015,6.5369146033286265,,0.818270348290208,8.82901875,,17.189951961569257,"[[2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2]]",1,B0011000011000000,19.778980512898006
269.917,0.016000000000019554,1.520545,23.312349,6.170080295578396,1.5,23.31,6.2,1.5,23.23,415.8,8.0,24.46874226289794,-13.721968354950231,8.0,25.115999999999968,-13.579184000000117,6.907077221797786,,0.8129575454595812,9.210384749999893,,17.095842650103545,"[[3, 12, 1, 6], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",1,B0001000011000000,19.749264295578513
269.933,0.016999999999995907,1.518009,23.339195,6.543272509338852,1.5,23.34,6.5,1.5,23.26,416.1,8.0,24.596742262898097,-13.329444478743383,8.0,25.244000000000124,-13.176303999999623,7.224932348004646,,0.8079410181915995,9.538896000000397,,17.005082554270224,"[[2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3], [2, 2, 2, 3]]",1,B1111000011000111,19.719576509338474
269.95,0.016999999999995907,1.515169,23.362822,6.940258176639256,1.5,23.36,6.9,1.5,23.44,416.5,8.0,24.732742262898064,-12.910143860274216,8.0,25.38000000000009,-12.745999999999725,7.5994579664738175,,0.8025960819836521,9.457425000000297,,16.912765957446737,"[[2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2]]",1,B0011000011000000,19.68625817663898
269.967,0.016000000000019554,1.511253,23.387951,7.337645092559661,1.5,23.39,7.300000000000001,1.5,23.47,416.90000000000003,8.0,24.86874226289803,-12.48853124180505,8.0,25.51600000000006,-12.313383999999827,7.947014334942967,,0.7972327721592747,9.8156847500002,,16.821342843705864,"[[2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2], [2, 2, 2, 2]]",1,B0111000011000000,19.651029092559487
