0x0004,0xdf3f,1101111100111111,0000000000000100,1101111100111011
0x55a2,0x35a6,0011010110100110,0101010110100010,0110000000000100
0x3fa1,0x1fa5,0001111110100101,0011111110100001,0010000000000100
0x29a0,0x49a4,0100100110100100,0010100110100000,0110000000000100
0x19a7,0x39a3,0011100110100011,0001100110100111,0010000000000100
0x03a6,0x23a2,0010001110100010,0000001110100110,0010000000000100
0xefa4,0xcfa0,1100111110100000,1110111110100100,0010000000000100
0xd99b,0xb99f,1011100110011111,1101100110011011,0110000000000100
0xc59a,0xe59e,1110010110011110,1100010110011010,0010000000000100
0xaf99,0xcf9d,1100111110011101,1010111110011001,0110000000000100
0x9b98,0x7b9c,0111101110011100,1001101110011000,1110000000000100
0x899f,0x699b,0110100110011011,1000100110011111,1110000000000100
0x739e,0x939a,1001001110011010,0111001110011110,1110000000000100
0x5f9d,0x7f99,0111111110011001,0101111110011101,0010000000000100
0x499c,0x2998,0010100110011000,0100100110011100,0110000000000100
0x3593,0x1597,0001010110010111,0011010110010011,0010000000000100
0x1f92,0x3f96,0011111110010110,0001111110010010,0010000000000100
0x0b91,0x2b95,0010101110010101,0000101110010001,0010000000000100
0xf997,0xd993,1101100110010011,1111100110010111,0010000000000100
0xe596,0xc592,1100010110010010,1110010110010110,0010000000000100
0xcf95,0xef91,1110111110010001,1100111110010101,0010000000000100
0xbb94,0xdb90,1101101110010000,1011101110010100,0110000000000100
0x0004,0xdf3f,1101111100111111,0000000000000100,1101111100111011
0x918b,0x718f,0111000110001111,1001000110001011,1110000000000100
0x7b8a,0x9b8e,1001101110001110,0111101110001010,1110000000000100
0x6789,0x878d,1000011110001101,0110011110001001,1110000000000100
0x5188,0x318c,0011000110001100,0101000110001000,0110000000000100
0x3d8f,0x1d8b,0001110110001011,0011110110001111,0010000000000100
0x278e,0x478a,0100011110001010,0010011110001110,0110000000000100
0x140d,0x3409,0011010000001001,0001010000001101,0010000000000100
0x040c,0xe407,1110010000000111,0000010000001100,1110000000001011
0xf002,0xd006,1101000000000110,1111000000000010,0010000000000100
0xc681,0xe685,1110011010000101,1100011010000001,0010000000000100
0x9e80,0x7e84,0111111010000100,1001111010000000,1110000000000100
0x8887,0xa883,1010100010000011,1000100010000111,0010000000000100
0x7486,0x9482,1001010010000010,0111010010000110,1110000000000100
0x6085,0x4081,0100000010000001,0110000010000101,0010000000000100
0x4c84,0x2c80,0010110010000000,0100110010000100,0110000000000100
0x367b,0x567f,0101011001111111,0011011001111011,0110000000000100
0x227a,0x427e,0100001001111110,0010001001111010,0110000000000100
0x0e79,0xee7c,1110111001111100,0000111001111001,1110000000000101
0xfa7f,0xda7b,1101101001111011,1111101001111111,0010000000000100
0xd07e,0xf07a,1111000001111010,1101000001111110,0010000000000100
0xbc7d,0x9c79,1001110001111001,1011110001111101,0010000000000100
0xa87c,0x8878,1000100001111000,1010100001111100,0010000000000100
0x9473,0xb477,1011010001110111,1001010001110011,0010000000000100
0x7e72,0x9e76,1001111001110110,0111111001110010,1110000000000100
0x6a71,0x4a75,0100101001110101,0110101001110001,0010000000000100
0x5670,0x3674,0011011001110100,0101011001110000,0110000000000100
0x4277,0x6273,0110001001110011,0100001001110111,0010000000000100
0x2e76,0x4e72,0100111001110010,0010111001110110,0110000000000100
0x1875,0xf870,1111100001110000,0001100001110101,1110000000000101
0x0474,0xe46f,1110010001101111,0000010001110100,1110000000011011
0xf06a,0x106f,0001000001101111,1111000001101010,1110000000000101
0xdc69,0xfc6d,1111110001101101,1101110001101001,0010000000000100
0xc868,0xa86c,1010100001101100,1100100001101000,0110000000000100
0xb26f,0x926b,1001001001101011,1011001001101111,0010000000000100
0x8a6e,0xaa6a,1010101001101010,1000101001101110,0010000000000100
0x726d,0x5269,0101001001101001,0111001001101101,0010000000000100
0x606c,0x4068,0100000001101000,0110000001101100,0010000000000100
0x4863,0x6867,0110100001100111,0100100001100011,0010000000000100
0x3462,0x5466,0101010001100110,0011010001100010,0110000000000100
0x2061,0x0065,0000000001100101,0010000001100001,0010000000000100
0x0a60,0xea63,1110101001100011,0000101001100000,1110000000000011
0xf5e6,0x15e3,0001010111100011,1111010111100110,1110000000000101
0xe1e5,0x01e2,0000000111100010,1110000111100101,1110000000000111
0xcde4,0xade0,1010110111100000,1100110111100100,0110000000000100
0xb7db,0x97df,1001011111011111,1011011111011011,0010000000000100
0xa3da,0xc3de,1100001111011110,1010001111011010,0110000000000100
0x8fd9,0xafdd,1010111111011101,1000111111011001,0010000000000100
0x7bd8,0x5bdc,0101101111011100,0111101111011000,0010000000000100
0x65df,0x45db,0100010111011011,0110010111011111,0010000000000100
0x4e5e,0x6e5a,0110111001011010,0100111001011110,0010000000000100
0x3a5d,0x5a59,0101101001011001,0011101001011101,0110000000000100
0x265c,0x0658,0000011001011000,0010011001011100,0010000000000100
0x1053,0xf056,1111000001010110,0001000001010011,1110000000000101
0xfc51,0x1c56,0001110001010110,1111110001010001,1110000000000111
0xe850,0x0855,0000100001010101,1110100001010000,1110000000000101
0xd457,0xb453,1011010001010011,1101010001010111,0110000000000100
