0x55a5,0x5581,0101010110100101,0101010110000001,0000000000100100,2
0x3fa4,0x3fa1,0011111110100100,0011111110100001,0000000000000101,2
0x29a7,0x49a3,0010100110100111,0100100110100011,0110000000000100,2
0x1ba2,0x1962,0001101110100010,0001100101100010,0000001011000000,2
0x03a1,0x035f,0000001110100001,0000001101011111,0000000011111110,1
0xef9f,0xef8d,1110111110011111,1110111110001101,0000000000010010,2
0x999e,0xdd9e,1001100110011110,1101110110011110,0100010000000000,2
0xe59d,0xc39d,1110010110011101,1100001110011101,0010011000000000,2
0xaf94,0xb79c,1010111110010100,1011011110011100,0001100000001000,2
0x9b99,0x9b9a,1001101110011001,1001101110011010,0000000000000011,1
0x899a,0x8899,1000100110011010,1000100010011001,0000000100000011,2
0x7399,0x7318,0111001110011001,0111001100011000,0000000010000001,2
0x5f88,0x5f96,0101111110001000,0101111110010110,0000000000011110,1
0x4997,0xc197,0100100110010111,1100000110010111,1000100000000000,2
0x3592,0x1596,0011010110010010,0001010110010110,0010000000000100,2
0x0f95,0x1795,0000111110010101,0001011110010101,0001100000000000,1
0x4b94,0x0ba4,0100101110010100,0000101110100100,0100000000110000,2
0xf990,0xf9a2,1111100110010000,1111100110100010,0000000000110010,2
0xe591,0xe50d,1110010110010001,1110010100001101,0000000010011100,2
0xcd90,0x0f91,1100110110010000,0000111110010001,1100001000000001,2|3
0xbf8f,0xb78f,1011111110001111,1011011110001111,0000100000000000,1
0x9186,0x9186,1001000110000110,1001000110000110,0000000000000000,0
0x7bad,0x7b7d,0111101110101101,0111101101111101,0000000011010000,2
0x278c,0x6784,0010011110001100,0110011110000100,0100000000001000,2
0x518b,0x494b,0101000110001011,0100100101001011,0001100011000000,2
0x3c8a,0xbd89,0011110010001010,1011110110001001,1000000100000011,2|3
0x2789,0x2708,0010011110001001,0010011100001000,0000000010000001,2
0x1408,0x0308,0001010000001000,0000001100001000,0001011100000000,2
0x0407,0xe386,0000010000000111,1110001110000110,1110011110000001,2|3
0xb005,0xefc5,1011000000000101,1110111111000101,0101111111000000,2
0xc484,0xc67c,1100010010000100,1100011001111100,0000001011111000,2
0x9e83,0x9e73,1001111010000011,1001111001110011,0000000011110000,1
0x88c2,0x8892,1000100011000010,1000100010010010,0000000001010000,2
0x7481,0x7a81,0111010010000001,0111101010000001,0000111000000000,1
0x6480,0x6060,0110010010000000,0110000001100000,0000010011100000,2
0x4c7f,0xca7e,0100110001111111,1100101001111110,1000011000000001,2|3
0x3676,0x357e,0011011001110110,0011010101111110,0000001100001000,2
0x327d,0x223d,0011001001111101,0010001000111101,0001000001000000,2
0x0e7c,0x0d7b,0000111001111100,0000110101111011,0000001100000111,2
0xfa7a,0xf97e,1111101001111010,1111100101111110,0000001100000100,2
0xd069,0x9079,1101000001101001,1001000001111001,0100000000010000,2
0xbc78,0xfb78,1011110001111000,1111101101111000,0100011100000000,2
0xa877,0x9a77,1010100001110111,1001101001110111,0011001000000000,2
0x9476,0xd876,1001010001110110,1101100001110110,0100110000000000,2
0x7675,0xfe75,0111011001110101,1111111001110101,1000100000000000,2
0x6a76,0x6a6c,0110101001110110,0110101001101100,0000000000011010,2
0x5673,0x55b3,0101011001110011,0101010110110011,0000001111000000,1
0x4272,0x4274,0100001001110010,0100001001110100,0000000000000110,1
0x2e51,0x2e81,0010111001010001,0010111010000001,0000000011010000,2
0x1830,0x186c,0001100000110000,0001100001101100,0000000001011100,2
0x146f,0x0470,0001010001101111,0000010001110000,0001000000011111,2
0xf06d,0xf06b,1111000001101101,1111000001101011,0000000000000110,1
0xdc6c,0x246d,1101110001101100,0010010001101101,1111100000000001,1|2
0xc8eb,0xc82b,1100100011101011,1100100000101011,0000000011000000,1
0xb26a,0x32eb,1011001001101010,0011001011101011,1000000010000001,2|3
0x8ae9,0x8a29,1000101011101001,1000101000101001,0000000011000000,1
