VidTime SimTime LonAccel LatAccel Throttle Brake Gear Heading HeadingError HeadwayDistance HeadwayTime Lane LaneOffset RoadOffset Steer TailwayDistance TailwayTime Velocity LatVelocity VertVelocity XPos YPos ZPos Roll Pitch Yaw EngineRPM SlipFR SlipFL SlipRR SlipRL User1 User2 User3 User4 User5 User6 User7 User8 User9 User10 User11 User12 User13 User14 User15 User16 User17 User18 User19 User20 User21 
0.1835 261.45 3.105781 -0.070955 41.028481 0.000000 4.000000 89.621043 -0.006609 10000.000000 1569.169469 -2.000000 -0.561640 -4.838360 -0.079898 10000.000000 1569.169469 6.372062 -0.015853 0.111793 -6104.837891 1896.205200 -0.529602 0.030763 0.995140 89.621028 2281.819580 0.041607 0.041064 0.001760 0.001603 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.2002 261.467 3.097674 -0.072268 41.712097 0.000000 4.000000 89.610197 -0.006798 10000.000000 1556.583075 -2.000000 -0.562616 -4.837384 -0.079269 10000.000000 1556.583075 6.423604 -0.015875 0.112255 -6104.836914 1896.311890 -0.529580 0.031535 0.986947 89.610182 2290.713623 0.041466 0.040915 0.001755 0.001601 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.216867 261.483 3.090439 -0.073363 41.712097 0.000000 4.000000 89.599316 -0.006988 10000.000000 1544.224617 -2.000000 -0.563592 -4.836408 -0.079269 10000.000000 1544.224617 6.475032 -0.015900 0.112633 -6104.835938 1896.419434 -0.529550 0.032292 0.978942 89.599301 2299.457520 0.041324 0.040766 0.001750 0.001599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.233567 261.5 3.083300 -0.074305 41.712097 0.000000 4.000000 89.588422 -0.007179 10000.000000 1532.090290 -2.000000 -0.564568 -4.835432 -0.078484 10000.000000 1532.090290 6.526337 -0.015925 0.112929 -6104.834961 1896.527710 -0.529514 0.033018 0.971153 89.588407 2307.520020 0.041167 0.040602 0.001744 0.001597 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.250233 261.517 3.075355 -0.075004 41.712097 0.000000 4.000000 89.577501 -0.007369 10000.000000 1520.180216 -2.000000 -0.565544 -4.834456 -0.078484 10000.000000 1520.180216 6.577492 -0.015947 0.113144 -6104.833984 1896.636963 -0.529474 0.033693 0.963598 89.577486 2315.155029 0.040973 0.040403 0.001736 0.001594 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.266933 261.533 3.065364 -0.075521 41.882996 0.000000 4.000000 89.566566 -0.007560 10000.000000 1508.500109 -2.000000 -0.566520 -4.833480 -0.077699 10000.000000 1508.500109 6.628445 -0.015964 0.113278 -6104.833008 1896.747070 -0.529431 0.034299 0.956279 89.566551 2322.725098 0.040737 0.040165 0.001726 0.001589 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.2836 261.55 3.053127 -0.075894 41.882996 0.000000 4.000000 89.555617 -0.007751 10000.000000 1497.050482 -2.000000 -0.567984 -4.832016 -0.077699 10000.000000 1497.050482 6.679166 -0.015974 0.113336 -6104.831543 1896.857910 -0.529387 0.034821 0.949188 89.555602 2330.489258 0.040489 0.039916 0.001716 0.001584 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.3003 261.567 3.039618 -0.076129 41.882996 0.000000 4.000000 89.544654 -0.007942 10000.000000 1485.825880 -2.000000 -0.568960 -4.831040 -0.076600 10000.000000 1485.825880 6.729650 -0.015975 0.113323 -6104.830566 1896.969727 -0.529343 0.035249 0.942315 89.544639 2338.356934 0.040245 0.039672 0.001706 0.001579 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.316967 261.583 3.025789 -0.076240 41.917175 0.000000 4.000000 89.533685 -0.008134 10000.000000 1474.818750 -2.000000 -0.570425 -4.829575 -0.075187 10000.000000 1474.818750 6.779904 -0.015966 0.113247 -6104.829102 1897.082275 -0.529300 0.035573 0.935653 89.533670 2346.321045 0.040011 0.039440 0.001696 0.001575 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.333667 261.6 3.012251 -0.076136 41.917175 0.000000 4.000000 89.522709 -0.008325 10000.000000 1464.020721 -2.000000 -0.571401 -4.828599 -0.075187 10000.000000 1464.020721 6.829938 -0.015941 0.113119 -6104.828125 1897.195679 -0.529260 0.035790 0.929199 89.522694 2354.356201 0.039790 0.039223 0.001687 0.001571 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
