SimTime,dT,Real_Prec_Acc,Real_Prec_Vel,Real_Prec_Pos,Quantized_Prec_Acc,Quantized_Prec_Vel,Quantized_Prec_Pos,Received_Prec_Acc,Received_Prec_Vel,Received_Prec_Pos,Ego_Acc_Benign,Ego_Vel_Benign,Ego_Pos_Benign,Ego_Acc,Ego_Vel,Ego_Pos,Safe_Gap_Benign,Space_Headway_Benign,Time_Headway_Benign,Safe_Gap,Space_Headway,Time_Headway,Bit_Flip_Pairs,XOR_Bin,XOR_Pattern,Real_Gap,Communication_Success,Desired_Space_HW
269.65,0.016999999999995907,1.545161,22.904129,0.0,,,,1.545161,22.904129,0.0,0.9801749833197637,22.904129,-20.0,0,22.904129,-20.0,,20.0,0.8732050015960005,3.2904129,20.0,0.8732050015960005,,,,20.0,0.0,12.597270950000002
269.667,0.016000000000019554,1.543022,22.92981,0.38959346876440615,,,,7.9,22.93,0.4,1.8623039146649734,22.920791974716433,-19.610488171715005,1.0930446570637506,22.904129,-19.610629807000095,,20.00008164047941,0.8725737602147948,3.216301978040065,20.0002232757645,0.8732147498717153,,,,20.0002232757645,1.0,12.597270950000002
269.683,0.016999999999995907,1.540511,22.955446,0.756667935580855,,,,7.9,22.96,0.8,2.7590061290842964,22.95058883735111,-19.243517125218016,2.2125992450583927,22.921617714513044,-19.244023833283542,,20.00018506079887,0.8714453996164759,3.1820966870936895,20.000691768864396,0.8725689442155196,,,,20.000691768864396,1.0,12.606889742982174
269.7,0.016999999999995907,1.538284,22.981054,1.147133121420261,,,,7.9,22.96,0.8,3.6121506784493604,22.99749194154553,-18.852958438597486,2.2125992450583927,22.959231901679026,-18.854036611546,,20.000091560017747,0.8696640316628221,3.2937187848601446,20.00116973296626,0.8711602295154988,,,,20.00116973296626,0.0,12.627577545923465
269.717,0.016000000000019554,1.536777,23.006649,1.5380333214581667,,,,7.9,22.96,0.8,4.373920184570312,23.058898503079153,-18.46147911981827,2.2125992450583927,22.996846088845007,-18.463409948626637,,19.999512441276437,0.8673229746254278,3.405517736011116,20.001443270084803,0.8697472337211852,,,,20.001443270084803,0.0,12.648265348864754
269.733,0.016999999999995907,1.535999,23.03224,1.9063364129146172,,,,7.9,23.03,1.9,5.142153291899452,23.128881226032362,-18.09197688198493,3.263842471430182,23.032247676765984,-18.095177198501297,,19.998313294899546,0.8646468067115476,3.309695582919853,20.001513611415913,0.8684134476199058,,,,20.001513611415913,1.0,12.667736222221292
269.75,0.016999999999995907,1.535623,23.057829,2.298106444770023,,,,7.9,23.03,1.9,5.866412391245748,23.21629783199463,-17.698042859991798,3.263842471430182,23.087732998780282,-17.70315736275925,,19.996149304761822,0.8612979317143715,3.4751804888135296,20.001263807529273,0.8663156234778847,,,,20.001263807529273,0.0,12.698253149329156
269.767,0.016000000000019554,1.535284,23.08181,2.6903114352934283,,,,7.9,23.03,1.9,6.506595617033946,23.316026842645783,-17.30251810025745,3.263842471430182,23.14321832079458,-17.31019427654296,,19.99282953555088,0.8574715439503326,3.641050222327082,20.000505711836386,0.8642058954205858,,,,20.000505711836386,0.0,12.728770076437021
269.783,0.016999999999995907,1.534274,23.110558,3.05981691164588,,,,7.9,23.11,3.1,7.145694813919732,23.420132372518452,-16.928628826535682,4.259026894043604,23.195439800337528,-16.93948501157345,,19.98844573818156,0.8534727908556279,3.5668144507263935,19.999301923219328,0.8622083519592635,,,,19.999301923219328,1.0,12.75749189018564
269.8,0.016999999999995907,1.532776,23.134481,3.4529181002387856,,,,7.9,23.11,3.1,7.740847291081353,23.541609184355057,-16.529454023302353,4.259026894043604,23.267843257536253,-16.544547105581614,,19.98237212354114,0.8488107999354919,3.784311191833329,19.9974652058204,0.8594464465177019,,,,19.9974652058204,0.0,12.79731379164494
269.817,0.016000000000019554,1.53109,23.158379,3.846425763370691,,,,7.9,23.11,3.1,8.0,23.67320358830341,-16.128128114734853,4.259026894043604,23.340246714734977,-16.148378340817402,,19.974553878105546,0.8437621804585286,4.002463215517059,19.99480410418809,0.856666356125753,,,,19.99480410418809,0.0,12.837135693104239
